Source Account,Tweet Text,Tweet Date,Tweets Ago,Sentiment Compound Score,Sentiment Positive Score,Sentiment Negative Score,Sentiment Neutral Score
@BBC,"ğŸ˜ºğŸ’¦ This is Maya the jaguar's very first swim!  
#BigCatsAboutTheHouse https://t.co/IacZP3ltf3",Sun Apr 08 19:02:05 +0000 2018,1,0.0,0.0,0.0,1.0
@BBC,ğŸ˜‚ Need a hand getting the kids to bed? https://t.co/JAUkyoVSA8,Sun Apr 08 18:03:03 +0000 2018,2,0.4939,0.314,0.0,0.686
@BBC,"'Silencing masks' and 'wife auctions': What life used to be like for women. 
ğŸ‘‰ https://t.co/7Z1bcXKgOx https://t.co/gzm7Hf3loH",Sun Apr 08 17:25:08 +0000 2018,3,0.25,0.147,0.088,0.765
@BBC,"ğŸ¦–ğŸ˜‚ Philomena Cunk examines the barbaric conditions in which we keep today's dinosaurs.
#CunkOnBritain  https://t.co/nBav5dqh7a",Sun Apr 08 17:07:02 +0000 2018,4,0.0,0.0,0.0,1.0
@BBC,"RT @bbcgetinspired: Meet Sue...

She is planning to run the 2018 @LondonMarathon to prove someone with vascular dementia can do it. ğŸ™Œ

â¡ htâ€¦",Sun Apr 08 16:40:55 +0000 2018,5,0.0,0.0,0.0,1.0
@BBC,ğŸ¨ Victoria Lomasko is a Russian graphic artist who's travelled up and down her country painting 'forgotten women'. https://t.co/XtlpBlAYb0,Sun Apr 08 16:07:03 +0000 2018,6,-0.2263,0.0,0.106,0.894
@BBC,"ğŸ¶ The search for the next Young Musician has begun, and the first @BBCYoungMus semi-finalist of 2018 has been confiâ€¦ https://t.co/klUA4GWtb0",Sun Apr 08 15:31:00 +0000 2018,7,0.0,0.0,0.0,1.0
@BBC,"'If boys are getting diagnosed with autism, girls need exactly the same.' https://t.co/f7Aft0LWwB",Sun Apr 08 15:11:04 +0000 2018,8,0.0,0.0,0.0,1.0
@BBC,ğŸ’ƒğŸ•º Meet the kids cutting some serious shapes on the streets of Lagos. https://t.co/3ySZPqua01,Sun Apr 08 13:54:07 +0000 2018,9,-0.2023,0.0,0.189,0.811
@BBC,"RT @BBCSport: What a nice surprise ğŸ˜ğŸ’

Two of @TeamEngland 's basketball players got engaged on court at the Commonwealths. 

Congrats @Jamâ€¦",Sun Apr 08 13:23:39 +0000 2018,10,0.875,0.393,0.0,0.607
@BBC,ğŸ˜‚ 'Surprise me'. https://t.co/Jo7illTafh,Sun Apr 08 13:03:04 +0000 2018,11,0.2732,0.512,0.0,0.488
@BBC,"When doctors found a large tumour on little Poppyâ€™s brain, her parents faced one of the toughest decisions of theirâ€¦ https://t.co/MGM0dpxlFH",Sun Apr 08 11:00:15 +0000 2018,12,-0.0772,0.0,0.064,0.936
@BBC,"RT @BBCSport: Beauty queen âœ…
Commonwealth Games weightlifting silver medallist âœ…

Introducing Sarah Davies...

#GC2018 #bbcgoldcoast https:â€¦",Sun Apr 08 10:15:06 +0000 2018,13,0.5859,0.213,0.0,0.787
@BBC,"From Ordeal by Innocence to the return of The Handmaidâ€™s Tale, here are @BBC_Culture's pick of programmes to watchâ€¦ https://t.co/Q6S34uv5LX",Sun Apr 08 10:01:07 +0000 2018,14,0.3818,0.12,0.0,0.88
@BBC,"ğŸ¦ğŸ’¬ Not only can Koko the gorilla use sign language, she also appears to have learnt to lie...

https://t.co/xXZwlLDLJh",Sun Apr 08 09:08:02 +0000 2018,15,0.0,0.0,0.0,1.0
@BBC,RT @BBCOne: .@johnkrasinski's got MOVES. #TheGrahamNortonShow #TGNS https://t.co/2HUMM0ixEW,Sun Apr 08 08:17:18 +0000 2018,16,0.0,0.0,0.0,1.0
@BBC,"Football, volleyball AND martial arts? ï¸âš½ï¸ğŸ¥‹ğŸ¤”

Sepak Takraw is the best sport you've never heard of... 

https://t.co/ngTwJHEmrI",Sun Apr 08 08:08:07 +0000 2018,17,0.6369,0.208,0.0,0.792
@BBC,ğŸ³ Meet the gargantuan air freighter that looks like a whale. https://t.co/7DPUt8okKU,Sun Apr 08 07:02:06 +0000 2018,18,0.3612,0.217,0.0,0.783
@BBC,â¤ï¸ğŸ¶ @NiallOfficial's Live Lounge cover of @JuliaMichaels' Issues is just perfect.  https://t.co/XpsnR29hPU,Sat Apr 07 18:00:22 +0000 2018,19,0.5719,0.252,0.0,0.748
@BBC,"RT @CBeebiesHQ: Goodnight @ChrisEvans,ğŸŒ™ 

Chris reads Goodnight Goodnight Construction site tonight. ğŸ—ï¸ 

#BedtimeStory is at 6:50pm ğŸ˜´ğŸ’¤ httâ€¦",Sat Apr 07 17:19:26 +0000 2018,20,0.0,0.0,0.0,1.0
@BBC,ğŸ¦ğŸ˜¢ Lions are often poisoned to prevent them attacking livestock. https://t.co/254nhtlMW5,Sat Apr 07 17:04:03 +0000 2018,21,-0.7269,0.072,0.405,0.523
@BBC,"ğŸ˜² Some VERY impressive maths here. 
#UniversityChallenge https://t.co/crvQQ5V3Vn",Sat Apr 07 16:00:23 +0000 2018,22,0.6515,0.419,0.0,0.581
@BBC,Doctors are finding one way that sugar can benefit your health - it may help heal wounds resistant to antibiotics.â€¦ https://t.co/zI9pN0zSVo,Sat Apr 07 15:01:03 +0000 2018,23,0.6908,0.241,0.0,0.759
@BBC,"RT @BBCRadio2: ""The clunk of putting the cassette in, snapping it shut... oh wait I'm going to rewind to get to the start of the song. It'sâ€¦",Sat Apr 07 14:33:46 +0000 2018,24,0.0,0.0,0.0,1.0
@BBC,"ğŸŒğŸ“¸ Our pick of the most striking news photographs taken around the world recently.
ğŸ‘‰ https://t.co/zPpuZq9hOC https://t.co/fYUTrG44Ra",Sat Apr 07 14:00:31 +0000 2018,25,0.0,0.0,0.0,1.0
@BBC,How did this new mum survive in the chaos that followed Hurricane Maria? https://t.co/Nx7uFz1k56,Sat Apr 07 13:00:20 +0000 2018,26,-0.5719,0.0,0.222,0.778
@BBC,"For Dr Joel Salinas, music creates colours, numbers have personalities and another person's pain feels almost likeâ€¦ https://t.co/lrGhiKBaGZ",Sat Apr 07 12:07:08 +0000 2018,27,-0.296,0.098,0.154,0.748
@BBC,"RT @bbcthree: 94-year-old Judo Jack says: ""Get off your butt and do something."" https://t.co/M9CzCtwSqe",Sat Apr 07 11:19:19 +0000 2018,28,0.0,0.0,0.0,1.0
@BBC,RT @BBCR1: It's been one whole year of Sign Of The Times and we need to know whether @Harry_Styles finally let Chris Martin be head of hisâ€¦,Sat Apr 07 11:00:57 +0000 2018,29,0.0,0.0,0.0,1.0
@BBC,"What an inspiration! ğŸ’ª 

â¤ï¸ Fraser shed the pounds to pursue his wrestling dream, in memory of his mother. https://t.co/LWmuGo6dTN",Sat Apr 07 11:00:18 +0000 2018,30,0.69,0.251,0.0,0.749
@BBC,"RT @BBCSport: It's a historic victory for Uganda! ğŸ™Œ 

Earlier today they recorded their first ever victory at the Commonwealth games with aâ€¦",Sat Apr 07 10:26:52 +0000 2018,31,0.0,0.0,0.0,1.0
@BBC,ğŸ“ğŸ’ Did you know that cherries and strawberries represented the souls of men? Or that a dragonfly could be the devilâ€¦ https://t.co/s9rFhv5wlu,Sat Apr 07 10:05:06 +0000 2018,32,0.0,0.0,0.0,1.0
@BBC,"Losing your hair whilst going through cancer treatment can be distressing. 

This shop decided to try and do somethâ€¦ https://t.co/mcOgFrRtdq",Sat Apr 07 09:00:12 +0000 2018,33,-0.8658,0.0,0.363,0.637
@BBC,ğŸ—‘ğŸ¤– This trash collecting robot can be controlled by anyone via the internet. https://t.co/N2gbeP2nIo,Sat Apr 07 08:00:16 +0000 2018,34,0.0,0.0,0.0,1.0
@BBC,"RT @bbcgetinspired: 'Women don't just stay at home and look after the kids, we don't just do dance or gymnastics, we play tennis, footballâ€¦",Sat Apr 07 07:54:05 +0000 2018,35,0.34,0.094,0.0,0.906
@BBC,ğŸ˜ğŸ¿ These baby red squirrels are too cute to handle. https://t.co/d2r7c8EyUh,Sat Apr 07 07:03:06 +0000 2018,36,0.4588,0.231,0.0,0.769
@BBC,"RT @bbcmusic: Jade, this was INCREDIBLE ğŸ˜
#SoundsLikeFridayNight https://t.co/rSGnYVTFYu",Fri Apr 06 19:48:37 +0000 2018,37,0.0,0.0,0.0,1.0
@BBC,ğŸ¤” Modern life is a mystery. https://t.co/a4817Iugzz,Fri Apr 06 18:07:07 +0000 2018,38,0.0,0.0,0.0,1.0
@BBC,"Tune in to #SLFN tonight for performances from @snowpatrol, @Meghan_Trainor, @yearsandyears and @halsey. ğŸ¶ğŸ¤ğŸ‰

Soundâ€¦ https://t.co/EFjiBk5upm",Fri Apr 06 17:32:05 +0000 2018,39,0.0,0.0,0.0,1.0
@BBC,RT @bbcpointswest: ğŸ¤© Prince Harry and Meghan Markle arrive in Bath for the Invictus Games trials ğŸ¤© https://t.co/ywlHvaHt2z,Fri Apr 06 16:13:08 +0000 2018,40,0.0,0.0,0.0,1.0
@BBC,"ğŸ˜‚ If you're going to get dumped on TV, it might as well be via @KylieMinogue. 

#TheGNShow | 10.35pm | @BBCOne https://t.co/CgfsjKjeob",Fri Apr 06 16:08:04 +0000 2018,41,-0.1531,0.096,0.124,0.78
@BBC,"RT @BBCNewsround: Ever wondered why we cry when we chop onions? Now you'll have no excuse to avoid cooking dinner, sorry! ğŸ˜‚https://t.co/SyXâ€¦",Fri Apr 06 16:02:36 +0000 2018,42,-0.7777,0.047,0.332,0.621
@BBC,"RT @BBCOne: MY OLD FRIEND.

#OrdealByInnocence #Sunshine https://t.co/vQBvcgLrCe",Fri Apr 06 15:23:45 +0000 2018,43,0.6037,0.36,0.0,0.64
@BBC,"ğŸ» Two years ago @ShekuKM won @BBCYoungMus. 
Now he wants to inspire other young people to pick up an instrument tooâ€¦ https://t.co/fG0F3x2eDN",Fri Apr 06 15:22:01 +0000 2018,44,0.8126,0.28,0.0,0.72
@BBC,"RT @bbcgetinspired: She's only 11 years old, but @sport_wales' Anna Hursey is smashing it at #GC2018! ğŸ™Œ 

â¡ https://t.co/9sFYGzsgnQ #GetInsâ€¦",Fri Apr 06 15:20:18 +0000 2018,45,0.0,0.0,0.0,1.0
@BBC,RT @bbcmusic: Counting down the seconds TBH ğŸ’…@LittleMix https://t.co/6UTrz9gqQr,Fri Apr 06 15:02:33 +0000 2018,46,0.0,0.0,0.0,1.0
@BBC,ğŸğŸ» Hate food waste but love beer? https://t.co/IL9jmlaMjs,Fri Apr 06 15:02:05 +0000 2018,47,0.5499,0.385,0.282,0.332
@BBC,"RT @BBCRadio3: ""Stop being so selfish â€“ this isnâ€™t about you."" Harsh words - or tough love?
Zeynep, Jess and Sam discuss one teacherâ€™s contâ€¦",Fri Apr 06 14:30:39 +0000 2018,48,-0.5849,0.13,0.31,0.559
@BBC,"ğŸ˜ ğŸ¦ğŸ¦’ğŸ”­
Saving animals using space technology. https://t.co/gAwJcD2I2A",Fri Apr 06 14:07:06 +0000 2018,49,0.0,0.0,0.0,1.0
@BBC,"ğŸ¿ğŸŸ From a near-silent horror film to an Australian Western, here are 8 movies worth watching in April. 
ğŸ‘‰â€¦ https://t.co/b15kbsQ7MD",Fri Apr 06 13:02:05 +0000 2018,50,-0.4215,0.088,0.171,0.741
@BBC,RT @BBCOne: For all the drama queens. ğŸ‘‘ https://t.co/RfdMDieaCZ,Fri Apr 06 12:18:09 +0000 2018,51,0.0,0.0,0.0,1.0
@BBC,ğŸ’ƒğŸ•º Meet the dancers from Lagos who've been tipped for the top by @Rihanna and @NaomiCampbell. https://t.co/3ySZPqcyBr,Fri Apr 06 12:03:05 +0000 2018,52,0.2023,0.101,0.0,0.899
@BBC,"RT @BBCSport: Gareth Evans absolutely loved it! ğŸ’ª 

This is how it felt to win Wales' first gold! ğŸ¥‡ğŸ´ó §ó ¢ó ·ó ¬ó ³ó ¿

#GC2018 #bbcgoldcoast https://tâ€¦",Fri Apr 06 11:32:15 +0000 2018,53,0.8617,0.311,0.0,0.689
@BBC,"ğŸ¦ğŸ¦ğŸ† 
Royal pets are now more synonymous with corgis than wild animals, but historically monarchs would own an arrayâ€¦ https://t.co/5VVyiWHPv1",Fri Apr 06 11:00:06 +0000 2018,54,0.0,0.0,0.0,1.0
@BBC,"ğŸ˜» Say hello to Willow the cheetah! 
#BigCatsAboutTheHouse https://t.co/e9xNVjR0gi",Fri Apr 06 10:10:03 +0000 2018,55,0.0,0.0,0.0,1.0
@BBC,RT @BBCSport: It all happened in the weightlifting... #GC2018 https://t.co/s8qnPsuyaz,Fri Apr 06 08:58:33 +0000 2018,56,0.0,0.0,0.0,1.0
@BBC,RT @BBCBreakfast: All you need to know about the 'sugar tax' and how your favourite soft drink may change. https://t.co/mjFwTN1UHs,Fri Apr 06 08:30:51 +0000 2018,57,0.0,0.0,0.0,1.0
@BBC,RT @bbcpress: ğŸ“¸ #FirstLook at Eleanor Tomlinson and Rafe Spall in @BBCOne adaptation of H.G. Wells' #WarOfTheWorlds as filming begins: httpâ€¦,Fri Apr 06 08:08:50 +0000 2018,58,0.25,0.095,0.0,0.905
@BBC,"ğŸ˜²ğŸ¨ğŸ‡¿ğŸ‡¦ Hotel or modern art museum?
#AmazingHotels https://t.co/Xbmjzviivh",Fri Apr 06 08:00:17 +0000 2018,59,0.0,0.0,0.0,1.0
@BBC,"It might not always feel like it, but psychologist @sapinker is convinced that the world is on the up. https://t.co/a8PrDXjDcL",Fri Apr 06 07:00:09 +0000 2018,60,0.4579,0.154,0.067,0.779
@BBC,"'Thereâ€™s the England before Stephen, and thereâ€™s the England after Stephen.' 

Stephen: The Murder That Changed a Nâ€¦ https://t.co/BLynBXYH7I",Thu Apr 05 20:02:00 +0000 2018,61,-0.6908,0.0,0.217,0.783
@BBC,"ğŸ† Could building walkways in nature help save these big cats?
#BigCatsAboutTheHouse https://t.co/NdkxCDBpee",Thu Apr 05 18:00:24 +0000 2018,62,0.7096,0.371,0.0,0.629
@BBC,"ğŸ˜‹ğŸ˜‹ Pocket-friendly recipes for two.
ğŸ‘‰ https://t.co/CzuDNQNw3B https://t.co/xbrrmlIgNF",Thu Apr 05 17:02:05 +0000 2018,63,0.0,0.0,0.0,1.0
@BBC,"ğŸ‘€ From illegal ivory to taxidermy, take a peek inside the banned wildlife room at Heathrow Airport. https://t.co/8yIok0eobX",Thu Apr 05 16:00:17 +0000 2018,64,-0.765,0.0,0.32,0.68
@BBC,RT @bbccomedy: Smithy is an irl ray of #sunshine. https://t.co/NgA4t4jZob,Thu Apr 05 15:55:28 +0000 2018,65,0.0,0.0,0.0,1.0
@BBC,"RT @BBCTheOneShow: ..@DIYSOS  are building a gym and community area for the Grenfell community, but @MrNickKnowles needs something specificâ€¦",Thu Apr 05 14:34:17 +0000 2018,66,0.0,0.0,0.0,1.0
@BBC,"RT @bbcmusic: STOP EVERYTHING: @GaryBarlow is coming to Sounds Like Friday Night ğŸ™ŒğŸ’ª 
Don't miss it: 7.30pm, Friday, @BBCOne ğŸ’«#SLFN https://â€¦",Thu Apr 05 12:59:08 +0000 2018,67,0.0028,0.159,0.118,0.724
@BBC,"RT @BBCOne: You took your sweet time. 

#Poldark #sunshine https://t.co/Ep33Zt5YZi",Thu Apr 05 12:37:24 +0000 2018,68,0.4588,0.25,0.0,0.75
@BBC,"It's time society stopped judging black women by their hair, British-Somali artist @blackpowerpufff says.â€¦ https://t.co/lRmAfxmefR",Thu Apr 05 11:56:05 +0000 2018,69,-0.2263,0.0,0.119,0.881
@BBC,ğŸ“š A biography about conjoined twins from Siam who became US slave-owners + 9 other books to bury your nose in thisâ€¦ https://t.co/1UfP6LTH0i,Thu Apr 05 11:01:08 +0000 2018,70,0.0,0.0,0.0,1.0
@BBC,RT @BBCSport: Scotland's Hannah Miley takes the silver in the women's 400m individual medley! ğŸ¥ˆ https://t.co/GrailyYrno #bbcgoldcoast httpsâ€¦,Thu Apr 05 10:26:16 +0000 2018,71,0.0,0.0,0.0,1.0
@BBC,ğŸ˜ğŸ¿ A trio of baby red squirrels have been rescued in Perthshire.  https://t.co/d2r7c8EyUh,Thu Apr 05 10:22:47 +0000 2018,72,0.4215,0.203,0.0,0.797
@BBC,"RT @BBCBreakfast: Some GOOD plastic news!
Marine conservationists say the 5p carrier bag charge has reduced the amount of single use plastiâ€¦",Thu Apr 05 10:03:28 +0000 2018,73,0.6027,0.157,0.0,0.843
@BBC,"RT @BBCRadio2: What happens when you put one harp, three fiddles, and the cream of the folk world in one room?

We brought together @elizacâ€¦",Thu Apr 05 09:55:45 +0000 2018,74,0.0,0.0,0.0,1.0
@BBC,"RT @BBCRadio4: Is @Youtube a form of folk art?
The #Unpopped podcast looks at the rise and dominance of YouTube and YouTubers with @sophiehâ€¦",Thu Apr 05 09:53:47 +0000 2018,75,0.2023,0.076,0.0,0.924
@BBC,"RT @bbcasiannetwork: ğŸš«It's your last chance to apply for placements at @BBCR1 @1Xtra and Asian Network in our Where It Begins Scheme! ğŸš«
Whaâ€¦",Thu Apr 05 09:52:41 +0000 2018,76,0.3164,0.094,0.0,0.906
@BBC,"RT @bbcthree: ""Let me guess, your name is Singh?"" and other things not to say to Sikh people. https://t.co/tZLfWssxez",Thu Apr 05 09:44:41 +0000 2018,77,0.0,0.0,0.0,1.0
@BBC,"RT @BBCSport: It was a tough day in the office for this Cypriot gymnast.

#bbcgoldcoast #GC2018 https://t.co/Xmt9bgMyeQ",Thu Apr 05 09:06:05 +0000 2018,78,-0.128,0.0,0.091,0.909
@BBC,"RT @bbcweather: *Public service announcement*
Ladies and gentlemen DO NOT be alarmed! I've checked through our 'big book of weather', and Iâ€¦",Thu Apr 05 08:57:48 +0000 2018,79,-0.4003,0.0,0.114,0.886
@BBC,"ğŸ No kidding, goat pilates is a real thing. https://t.co/kmuOKupPwB",Thu Apr 05 08:01:06 +0000 2018,80,-0.2023,0.146,0.229,0.625
@BBC,"RT @BBCNewsEnts: Florence + The Machine, @DemiLovato @BastilleDan and @QueensChristine have been added to the line-up for @BBCMusic's Biggeâ€¦",Thu Apr 05 07:33:03 +0000 2018,81,0.0,0.0,0.0,1.0
@BBC,"ğŸ¨ğŸŒ† Monet in the city: A rarely-seen side of the great Impressionist. 
ğŸ‘‰https://t.co/IFaHpevPfG https://t.co/E9UwhYfz32",Thu Apr 05 07:29:10 +0000 2018,82,0.7269,0.357,0.0,0.643
@BBC,Doctor Kathryn Mannix on why we need to talk about death. https://t.co/TlFgCB78Lm,Thu Apr 05 07:00:08 +0000 2018,83,-0.5994,0.0,0.262,0.738
@BBC,"Tonight, @PatricKielty explores the legacy of Northern Ireland's peace deal, 20 years on. 

My Dad, the Peace Dealâ€¦ https://t.co/5xNLeIgiUM",Wed Apr 04 19:05:08 +0000 2018,84,0.7906,0.292,0.0,0.708
@BBC,This 83-year-old lingerie model has a powerful message about ageing. https://t.co/F0p12gFvFu,Wed Apr 04 18:02:06 +0000 2018,85,0.4215,0.237,0.0,0.763
@BBC,RT @BBC6Music: ğŸ˜ Make a date with Cillian Murphy this Friday from 7-9pm BST as he sits in for @IggyPop. Listen worldwide https://t.co/Dd2jiâ€¦,Wed Apr 04 17:04:50 +0000 2018,86,0.0,0.0,0.0,1.0
@BBC,Donâ€™t miss the highlights of the #CommonwealthGames Opening Ceremony from Australiaâ€™s Gold Coast.  ğŸ¸ğŸŠâ€â™€ï¸ğŸ¤¸ #GC2018â€¦ https://t.co/krMnULo1NJ,Wed Apr 04 17:02:05 +0000 2018,87,-0.1531,0.0,0.096,0.904
@BBC,Does your name match your face? https://t.co/N2kzChM8dc,Wed Apr 04 16:00:29 +0000 2018,88,0.0,0.0,0.0,1.0
@BBC,"Animal cloning is becoming more common â€“ and cloning extinct species could be on the horizon. 

Could parks and zooâ€¦ https://t.co/WKRdKGZiQE",Wed Apr 04 15:03:05 +0000 2018,89,0.0,0.0,0.0,1.0
@BBC,ğŸ•ğŸ˜‚ A Canadian man has been 'pardoned' by a luxury hotel after his room was ransacked by a flock of pepperoni-lovingâ€¦ https://t.co/TvU39MT9pl,Wed Apr 04 13:05:05 +0000 2018,90,0.0,0.0,0.0,1.0
@BBC,"RT @BBCYoungMus: The search for the next #bbcyoungmusician begins this Friday with 5 incredible strings finalists@BBCFOUR,7.30. Missed ourâ€¦",Wed Apr 04 12:49:56 +0000 2018,91,-0.296,0.0,0.121,0.879
@BBC,"ğŸš¨ğŸ˜± Who's excited to see @LittleMix on Sounds Like Friday Night!?

#SLFN | @BBCOne | Friday, 7.30pm https://t.co/474h2EwXjv",Wed Apr 04 12:17:04 +0000 2018,92,0.636,0.271,0.0,0.729
@BBC,"RT @BBCWomansHour: Today #MayaAngelou would have turned 90 ğŸˆ Poet, director, ambassador, actor and civil-rights activist were just a few ofâ€¦",Wed Apr 04 12:03:29 +0000 2018,93,0.0,0.0,0.0,1.0
@BBC,"You can't be 'a bit OCD'.

Challenging some of the common misconceptions about #OCD. https://t.co/nGIf4mMJc4",Wed Apr 04 12:00:30 +0000 2018,94,0.1531,0.103,0.0,0.897
@BBC,"The Games are here. But how much do you really know about the Commonwealth? 
Play our quiz to find out. 
ğŸ‘‰â€¦ https://t.co/tQeekDEvWo",Wed Apr 04 11:02:06 +0000 2018,95,0.34,0.103,0.0,0.897
@BBC,"RT @BBCArchive: Dr Martin Luther King speaking with John Freeman on Face to Face.
You can watch the interview in full here: https://t.co/BXâ€¦",Wed Apr 04 10:19:06 +0000 2018,96,0.4019,0.109,0.0,0.891
@BBC,"RT @VictoriaLIVE: ""How will the dream live on in me, in you, in all of us?""

@Oprah Winfrey pays tribute to the civil rights leader Dr Martâ€¦",Wed Apr 04 10:09:33 +0000 2018,97,0.25,0.071,0.0,0.929
@BBC,"RT @bbcthesocial: You're never too old for a selfie â¤ï¸

@Antonis95K https://t.co/VHihA5XOrY",Wed Apr 04 09:16:19 +0000 2018,98,0.0,0.0,0.0,1.0
@BBC,"ğŸ˜ğŸ˜‚ A police force's e-fit of a burglary suspect has been mocked for its resemblance to the Cheshire Cat.
ğŸ‘‰â€¦ https://t.co/VdkfuAmiFI",Wed Apr 04 09:11:29 +0000 2018,99,-0.5423,0.0,0.209,0.791
@BBC,ğŸ§ ğŸ¶ There's a good reason why this woman was asked to play the flute during brain surgery.  https://t.co/I5FpONxP4f,Wed Apr 04 08:03:03 +0000 2018,100,0.6486,0.261,0.0,0.739
